artist,publish_date,track
The Moody Blues,1965-06-05,From The Bottom Of My Heart (I Love You)
Cal Tjader,1965-06-05,Soul Sauce (Guacha Guaro)
The Rolling Stones,1965-06-12,(I Can't Get No) Satisfaction
The Knight Bros.,1965-06-12,Temptation 'Bout To Get Me
The Kinks,1965-06-12,Set Me Free
Little Milton,1965-06-12,Who's Cheating Who?
Wayne Fontana & The Mindbenders,1965-06-12,It's Just A Little Bit Too Late
The Bachelors,1965-06-12,Marie
Al Martino,1965-06-12,My Cherie
Jack Jones,1965-06-12,Seein' The Right Love Go Wrong
Trini Lopez,1965-06-12,Are You Sincere
Sandie Shaw,1965-06-12,Long Live Love
Elvis Presley With The Jordanaires,1965-06-19,(Such An) Easy Question
Tom Jones,1965-06-19,What's New Pussycat?
Elvis Presley With The Jordanaires,1965-06-19,It Feels So Right
"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1965-06-19,Girl Come Running
Mary Wells,1965-06-19,He's A Lover
Billy Stewart,1965-06-19,Sitting In The Park
Barbara Lewis,1965-06-19,"Baby, I'm Yours"
Lesley Gore,1965-06-19,"Sunshine, Lollipops And Rainbows"
The Chiffons,1965-06-19,Nobody Knows What's Goin' On (In My Mind But Me)
The Lettermen,1965-06-26,"Theme From ""A Summer Place"""
The Strangeloves,1965-06-26,I Want Candy
Mel Carter,1965-06-26,"Hold Me, Thrill Me, Kiss Me"
Patty Duke,1965-06-26,Don't Just Stand There
Little Anthony And The Imperials,1965-06-26,Take Me Back
Lenny Welch,1965-06-26,Darling Take Me Back
Joe Tex,1965-06-26,One Monkey Don't Stop No Show
Billy J. Kramer With The Dakotas,1965-06-26,Trains And Boats And Planes
Jimmy Dean,1965-06-26,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night)
Connie Francis,1965-06-26,Forget Domani
Del Reeves,1965-06-26,Girl On The Billboard
The Zombies,1965-06-26,I Want You Back Again
"Dino, Desi & Billy",1965-06-26,I'm A Fool
Herman's Hermits,1965-07-03,"I'm Henry VIII, I Am"
Lee Dorsey,1965-07-03,Ride Your Pony
Gary Lewis And The Playboys,1965-07-03,Save Your Heart For Me
Jackie Wilson,1965-07-03,No Pity (In The Naked City)
Billy Butler & The Chanters,1965-07-03,I Can't Work No Longer
The Byrds,1965-07-03,All I Really Want To Do
Dionne Warwick,1965-07-03,Here I Am
The Righteous Brothers,1965-07-03,Justine
Maxine Brown,1965-07-03,One Step At A Time
Carla Thomas,1965-07-03,Stop! Look What You're Doing
Billy Joe Royal,1965-07-03,Down In The Boondocks
B.B. King,1965-07-03,Blue Shadows
The Drifters,1965-07-03,Follow Me
Brook Benton,1965-07-03,Love Me Now
Marvin Gaye,1965-07-10,Pretty Little Baby
Peter And Gordon,1965-07-10,To Know You Is To Love You
Wilson Pickett,1965-07-10,In The Midnight Hour
The Astors,1965-07-10,Candy
Roy Orbison,1965-07-10,(Say) You're My Girl
Sonny & Cher,1965-07-10,I Got You Babe
Bobby Vinton,1965-07-10,"Theme From ""Harlow"" (Lonely Girl)"
Bert Kaempfert And His Orchestra,1965-07-10,Moon Over Naples
Elvis Presley With The Jordanaires,1965-07-10,Tickle Me
Roger Miller,1965-07-10,One Dyin' And A Buryin'
James Brown And The Famous Flames,1965-07-17,Papa's Got A Brand New Bag (Part I)
The Miracles,1965-07-17,The Tracks Of My Tears
The Royalettes,1965-07-17,It's Gonna Take A Miracle
Arthur Prysock,1965-07-17,"It's Too Late, Baby Too Late"
The Righteous Brothers,1965-07-17,Hung On You
The Skyliners,1965-07-17,The Loser
Glenn Yarbrough,1965-07-17,It's Gonna Be Fine
Unit Four plus Two,1965-07-17,You've Never Been In Love Like This Before
Chet Atkins,1965-07-17,Yakety Axe
Willie Mitchell,1965-07-17,Buster Browne
The Temptations,1965-07-24,Since I Lost My Baby
The Beach Boys,1965-07-24,California Girls
We Five,1965-07-24,You Were On My Mind
The Beau Brummels,1965-07-24,You Tell Me Why
Gene Pitney,1965-07-24,Looking Through The Eyes Of Love
The Vacels,1965-07-24,You're My Baby (And Don't You Forget It)
Bob Dylan,1965-07-24,Like A Rolling Stone
Tony Bennett,1965-07-24,Fly Me To The Moon (In Other Words)
The Duprees,1965-07-24,Around The Corner
Sam Cooke,1965-07-24,Sugar Dumpling
The Ron-Dels,1965-07-24,"If You Really Want Me To, I'll Go"
Baby Washington,1965-07-24,Only Those In Love
Four Tops,1965-07-31,It's The Same Old Song
Sam The Sham and the Pharaohs,1965-07-31,Ju Ju Hand
Jr. Walker & The All Stars,1965-07-31,Shake And Fingerpop
The Yardbirds,1965-07-31,Heart Full Of Soul
The Supremes,1965-07-31,Nothing But Heartaches
Freddie And The Dreamers,1965-07-31,A Little You
Four Tops,1965-07-31,Ain't That Love
The Searchers,1965-07-31,He's Got No Love
Perry Como,1965-07-31,"Oowee, Oowee"
Derek Martin,1965-07-31,You Better Go
Della Reese,1965-07-31,After Loving You
The Beatles,1965-08-07,Help!
Chad & Jeremy,1965-08-07,I Don't Wanna Lose You Baby
The Turtles,1965-08-07,It Ain't Me Babe
Dean Martin,1965-08-07,Houston
Chuck Jackson,1965-08-07,If I Didn't Love You
Edwin Starr,1965-08-07,Agent Double-O-Soul
G.L. Crockett,1965-08-07,It's A Man Down There
Barbara Mason,1965-08-07,"Sad, Sad Girl"
O.V. Wright,1965-08-07,You're Gonna Make Me Cry
Vic Dana,1965-08-07,Moonlight And Roses (Bring Mem'ries Of You)
Dee Dee Warwick,1965-08-07,We're Doing Fine
The Kingsmen,1965-08-07,Annie Fanny
The O'Jays,1965-08-07,I've Cried My Last Tear
Jerry Vale,1965-08-07,Where Were You When I Needed You
Wayne Newton,1965-08-07,Summer Wind
Freddy Cannon,1965-08-14,Action
The Kinks,1965-08-14,Who'll Be The Next In Line
Marianne Faithfull,1965-08-14,Summer Nights
Martha & The Vandellas,1965-08-14,You've Been In Love Too Long
The Animals,1965-08-14,We Gotta Get Out Of This Place
The Contours,1965-08-14,First I Look At The Purse
Little Caesar And The Consuls,1965-08-14,(My Girl) Sloopy
The Drifters,1965-08-14,I'll Take You Where The Music's Playing
Jim Reeves,1965-08-14,Is It Really Over?
The Jive Five,1965-08-14,I'm A Happy Man
The Marvelettes,1965-08-14,Danger Heartbreak Dead Ahead
Donovan,1965-08-14,Colours
The Castaways,1965-08-14,"Liar, Liar"
Gerry And The Pacemakers,1965-08-14,Give All Your Love To Me
The McCoys,1965-08-14,Hang On Sloopy
David Jones,1965-08-14,What Are We Going To Do?
Barry McGuire,1965-08-21,Eve Of Destruction
The Dave Clark Five,1965-08-21,Catch Us If You Can
Sonny & Cher,1965-08-21,Baby Don't Go
Sonny,1965-08-21,Laugh At Me
Lenny Welch,1965-08-21,Two Different Worlds
Bobby Goldsboro,1965-08-21,If You Wait For Love
The Fortunes,1965-08-21,You've Got Your Troubles
The Lovin' Spoonful,1965-08-21,Do You Believe In Magic
Roy Orbison,1965-08-21,Ride Away
Chuck Jackson & Maxine Brown,1965-08-21,Can't Let You Out Of My Sight
Solomon Burke,1965-08-21,Someone Is Watching
Ronnie Dove,1965-08-28,I'll Make All Your Dreams Come True
Sonny & Cher,1965-08-28,Just You
Tom Jones,1965-08-28,With These Hands
Elvis Presley,1965-08-28,I'm Yours
Charlie Rich,1965-08-28,Mohair Sam
Jody Miller,1965-08-28,Home Of The Brave
Joe Tex,1965-08-28,I Want To (Do Everything For You)
Major Lance,1965-08-28,Too Hot To Hold
Neil Sedaka,1965-08-28,The World Through A Tear
Bobby Bland,1965-08-28,These Hands (Small But Mighty)
Jay & The Americans,1965-09-04,Some Enchanted Evening
Roy Head And The Traits,1965-09-04,Treat Her Right
Andy Williams,1965-09-04,Ain't It True
Ian Whitcomb,1965-09-04,N-E-R-V-O-U-S!
Otis Redding,1965-09-04,Respect
Horst Jankowski,1965-09-04,Simpel Gimpel
The Sunrays,1965-09-04,I Live For The Sun
Dickey Lee,1965-09-04,The Girl From Peyton Place
The Dixie Drifter,1965-09-04,Soul Heaven
Roger Miller,1965-09-11,Kansas City Star
Herb Alpert & The Tijuana Brass,1965-09-11,3rd Man Theme
Lesley Gore,1965-09-11,"My Town, My Guy And Me"
Connie Francis,1965-09-11,Roundabout
Joan Baez,1965-09-11,There But For Fortune
Barbara Lewis,1965-09-11,Make Me Your Baby
Patti Page,1965-09-11,"You Can't Be True, Dear"
Mary Wells,1965-09-11,Me Without You
Al Hirt,1965-09-11,The Silence (Il Silenzio)
San Remo Golden Strings,1965-09-11,Hungry For Love
The Toys,1965-09-11,A Lover's Concerto
The Five Emprees,1965-09-11,Little Miss Sad
Herman's Hermits,1965-09-18,Just A Little Bit Better
The Spokesmen,1965-09-18,The Dawn Of Correction
Paul Revere & The Raiders,1965-09-18,Steppin' Out
The Strangeloves,1965-09-18,Cara-Lin
Bobby Vinton,1965-09-18,What Color (Is A Man)
"Dino, Desi & Billy",1965-09-18,Not The Lovin' Kind
The Vogues,1965-09-18,You're The One
Billy Joe Royal,1965-09-18,I Knew You When
The Ivy League,1965-09-18,Tossing & Turning
Kathy Kirby,1965-09-18,The Way Of Love
Billy Stewart,1965-09-18,How Nice It Is
The Beatles,1965-09-25,Yesterday
Jonathan King,1965-09-25,Everyone's Gone To The Moon
The Barbarians,1965-09-25,Are You A Boy Or Are You A Girl
Donovan,1965-09-25,Universal Soldier
Gary Lewis And The Playboys,1965-09-25,Everybody Loves A Clown
The Beatles,1965-09-25,Act Naturally
Patty Duke,1965-09-25,Funny Little Butterflies
Herb Alpert & The Tijuana Brass,1965-09-25,Taste Of Honey
Glen Campbell,1965-09-25,The Universal Soldier
Bobby Goldsboro,1965-09-25,If You've Got A Heart
Len Barry,1965-09-25,1-2-3
P.F. Sloan,1965-09-25,The Sins Of A Family
Fred Hughes,1965-09-25,You Can't Take It Away
Johnny Nash,1965-09-25,Let's Move & Groove (Together)
Bob Dylan,1965-10-02,Positively 4th Street
Fontella Bass,1965-10-02,Rescue Me
Kim Weston,1965-10-02,Take Me In Your Arms (Rock Me A Little While)
Patty Duke,1965-10-02,Say Something Funny
Jackie DeShannon,1965-10-02,A Lifetime Of Loneliness
The Newbeats,1965-10-02,"Run, Baby Run (Back Into My Arms)"
The Impressions,1965-10-02,Just One Kiss From You
Dionne Warwick,1965-10-02,Looking With My Eyes
Barbra Streisand,1965-10-02,He Touched Me
Jimmy Smith With Kenny Burrell And Grady Tate,1965-10-02,The Organ Grinder's Swing
The Rolling Stones,1965-10-09,Get Off Of My Cloud
Sonny & Cher,1965-10-09,But You're Mine
Marvin Gaye,1965-10-09,Ain't That Peculiar
"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1965-10-09,Let's Hang On!
Petula Clark,1965-10-09,Round Every Corner
Sam The Sham and the Pharaohs,1965-10-09,Ring Dang Doo
The Bachelors,1965-10-09,Chapel In The Moonlight
The Beau Brummels,1965-10-09,Don't Talk To Strangers
Jack Jones,1965-10-09,Just Yesterday
Jr. Walker & The All Stars,1965-10-09,Cleo's Back
The Ikettes,1965-10-09,I'm So Thankful
The Miracles,1965-10-09,My Girl Has Gone
"Peter, Paul & Mary",1965-10-09,Early Morning Rain
The Shangri-Las,1965-10-09,Right Now And Not Later
Brenda Lee,1965-10-09,Rusty Bells
Jan & Dean,1965-10-16,I Found A Girl
The Silkie,1965-10-16,You've Got To Hide Your Love Away
Cher,1965-10-16,Where Do You Go
"""Little"" Jimmy Dickens",1965-10-16,May The Bird Of Paradise Fly Up Your Nose
Danny Hutton,1965-10-16,Roses And Rainbows
Roger Williams,1965-10-16,Autumn Leaves - 1965
Al Martino,1965-10-16,Forgive Me
Trini Lopez,1965-10-16,Sinner Man
Nancy Sinatra,1965-10-16,So Long Babe
The Temptations,1965-10-23,My Baby
The Byrds,1965-10-23,Turn! Turn! Turn! (To Everything There Is A Season)
The Vejtables,1965-10-23,I Still Love You
The Kids Next Door,1965-10-23,Inky Dinky Spider (The Spider Song)
The Mad Lads,1965-10-23,Don't Have To Shop Around
Jackie Wilson,1965-10-23,I Believe I'll Love On
Chuck Jackson & Maxine Brown,1965-10-23,I Need You So
Sonny & Cher,1965-10-23,The Letter
The Supremes,1965-10-30,I Hear A Symphony
Mel Carter,1965-10-30,(All Of A Sudden) My Heart Sings
The Turtles,1965-10-30,Let Me Be
Lonnie Mack,1965-10-30,Honky Tonk '65
Them,1965-10-30,Mystic Eyes
Chad & Jeremy,1965-10-30,I Have Dreamed
Ronnie Dove,1965-11-06,Kiss Away
The Fortunes,1965-11-06,Here It Comes Again
Roger Miller,1965-11-06,England Swings
Barry McGuire,1965-11-06,Child Of Our Times
The Animals,1965-11-06,It's My Life
The Shangri-Las,1965-11-06,I Can Never Go Home Anymore
Roy Orbison,1965-11-06,Crawling Back
The Wonder Who?,1965-11-06,Don't Think Twice
Barry Young,1965-11-06,One Has My Name (The Other Has My Heart)
The Royalettes,1965-11-06,I Want To Meet Him
Wilson Pickett,1965-11-06,Don't Fight It
Barbara Mason,1965-11-06,"If You Don't (Love Me, Tell Me So)"
Four Tops,1965-11-13,Something About You
James Brown And The Famous Flames,1965-11-13,I Got You (I Feel Good)
Elvis Presley With The Jordanaires,1965-11-13,Puppet On A String
Lou Johnson,1965-11-13,A Time To Love-A Time To Cry (Petite Fleur)
The Packers,1965-11-13,Hole In The Wall
Brook Benton,1965-11-13,"Mother Nature, Father Time"
Don Covay & The Goodtimers,1965-11-13,Seesaw
The Changin' Times,1965-11-13,Pied Piper
The Statler Brothers,1965-11-13,Flowers On The Wall
Buck Owens and The Buckaroos,1965-11-13,Buckaroo
Tony Bennett,1965-11-13,"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)"
Jay & The Americans,1965-11-20,Sunday And Me
Roy Head And The Traits,1965-11-20,Apple Of My Eye
Simon & Garfunkel,1965-11-20,The Sound Of Silence
Gene Pitney,1965-11-20,Princess In Rags
Johnny Tillotson,1965-11-20,Our World
The Hollies,1965-11-20,Look Through Any Window
The Impressions,1965-11-20,You've Been Cheatin'
Leon Hayward,1965-11-20,She's With Her Other Love
Jackie Lee,1965-11-20,The Duck
The Beach Boys,1965-11-27,The Little Girl I Once Knew
The Lovin' Spoonful,1965-11-27,You Didn't Have To Be So Nice
Sonny,1965-11-27,The Revolution Kind
Gene Chandler,1965-11-27,Rainbow '65 (Part I)
Johnny Thunder,1965-11-27,Everybody Do The Sloopy
Little Richard,1965-11-27,I Don't Know What You've Got But It's Got Me - Part I
The Vogues,1965-11-27,Five O'Clock World
Solomon Burke,1965-11-27,Only Love (Can Save Me Now)
The San Remo Golden Strings,1965-11-27,I'm Satisfied
Al Martino,1965-12-04,Spanish Eyes
Vic Dana,1965-12-04,Crystal Chandelier
Joe Tex,1965-12-04,A Sweet Woman Like You
Bobby Vinton,1965-12-04,Satin Pillows
Billy Joe Royal,1965-12-04,I've Got To Be Somebody
The Kinks,1965-12-04,A Well Respected Man
Paul Revere & The Raiders Featuring Mark Lindsay,1965-12-04,Just Like Me
Patti LaBelle And The Blue Belles,1965-12-04,All Or Nothing
Lesley Gore,1965-12-04,I Won't Love You Anymore (Sorry)
Bobby Powell,1965-12-04,C.C. Rider
Noel Harrison,1965-12-04,A Young Girl
Andy Williams,1965-12-04,Quiet Nights Of Quiet Stars
The Knickerbockers,1965-12-04,Lies
Lenny Welch,1965-12-04,Run To My Lovin' Arms
Otis Redding,1965-12-04,Just One More Day
Ted Taylor,1965-12-04,Stay Away From My Baby
Hedgehoppers Anonymous,1965-12-04,It's Good News Week
Gary Lewis And The Playboys,1965-12-11,She's Just My Style
Tom Jones,1965-12-11,Thunderball
The T-Bones,1965-12-11,No Matter What Shape (Your Stomach's In)
Dionne Warwick,1965-12-11,Are You There (With Another Girl)
Jack Jones,1965-12-11,Love Bug
"Dino, Desi & Billy",1965-12-11,Please Don't Fight It
Ray Charles,1965-12-11,Crying Time
Marianne Faithfull,1965-12-11,Go Away From My World
Edwin Starr,1965-12-11,Back Street
Martha & The Vandellas,1965-12-11,Love (Makes Me Do Foolish Things)
Mitch Ryder And The Detroit Wheels,1965-12-11,Jenny Take A Ride!
The Beatles,1965-12-18,We Can Work It Out
The Beatles,1965-12-18,Day Tripper
Barbra Streisand,1965-12-18,Second Hand Rose
Bobby Goldsboro,1965-12-18,Broomstick Cowboy
The Toys,1965-12-18,Attack
Johnny Rivers,1965-12-18,Under Your Spell Again
The Temptations,1965-12-18,Don't Look Back
Etta James & Sugar Pie DeSanto,1965-12-18,Do I Make Myself Clear
Allan Sherman,1965-12-18,The Drinking Man's Diet
Johnny Mathis,1965-12-18,On A Clear Day You Can See Forever
Stevie Wonder,1965-12-18,Uptight (Everything's Alright)
Herman's Hermits,1965-12-25,A Must To Avoid
Frank Sinatra,1965-12-25,It Was A Very Good Year
Mike Douglas,1965-12-25,The Men In My Little Girl's Life
Herb Alpert & The Tijuana Brass,1965-12-25,Zorba The Greek
Fontella Bass,1965-12-25,Recovery
The Miracles,1965-12-25,Going To A Go-Go
Herb Alpert & The Tijuana Brass,1965-12-25,Tijuana Taxi
The 4 Seasons,1965-12-25,Little Boy (In Grown Up Clothes)
Lou Christie,1965-12-25,Lightnin' Strikes
The Young Rascals,1965-12-25,I Ain't Gonna Eat Out My Heart Anymore
Lowell Fulsom,1965-12-25,Black Nights
The Beau Brummels,1965-12-25,Good Time Music
The Marvelettes,1966-01-01,Don't Mess With Bill
The Beach Boys,1966-01-01,Barbara Ann
Len Barry,1966-01-01,Like A Baby
The Gentrys,1966-01-01,Spread It On Thick
The Five Americans,1966-01-01,I See The Light
Lee Dorsey,1966-01-01,"Get Out Of My Life, Woman"
Chris Andrews,1966-01-01,Yesterday Man
Elvis Presley,1966-01-01,Blue River
The Manhattans,1966-01-01,Follow Your Heart
Bob Dylan,1966-01-01,Can You Please Crawl Out Your Window?
Bobby Bland,1966-01-08,I'm Too Far Gone (To Turn Around)
Red Sovine,1966-01-08,Giddyup Go
Billy Vaughn And His Orchestra,1966-01-08,Michelle
Tammi Terrell,1966-01-08,I Can't Believe You Love Me
The Mamas & The Papas,1966-01-08,California Dreamin'
Solomon Burke,1966-01-08,Baby Come On Home
Jr. Walker & The All Stars,1966-01-15,Cleo's Mood
The Supremes,1966-01-15,My World Is Empty Without You
Frankie Valli,1966-01-15,(You're Gonna) Hurt Yourself
Jim Reeves,1966-01-15,Snow Flake
Sam & Dave,1966-01-15,You Don't Know Like I Know
Sharpees,1966-01-15,Tired Of Being Lonely
Darrow Fletcher,1966-01-15,The Pain Gets A Little Deeper
Eddie Holman,1966-01-15,This Can't Be True
The Who,1966-01-15,My Generation
Roy Head,1966-01-15,Get Back
Jonathan King,1966-01-15,Where The Sun Has Never Shone
Ronnie Dove,1966-01-22,When Liking Turns To Loving
Nancy Sinatra,1966-01-22,These Boots Are Made For Walkin'
Martha & The Vandellas,1966-01-22,My Baby Loves Me
Roy Orbison,1966-01-22,Breakin' Up Is Breakin' My Heart
The Sunrays,1966-01-22,Andrea
Bob Lind,1966-01-22,Elusive Butterfly
Bert Kaempfert And His Orchestra,1966-01-22,Bye Bye Blues
Johnny Lytle,1966-01-22,The Loop
Johnny and The Expressions,1966-01-22,Something I Want To Tell You
Mary Wells,1966-01-22,Can't You See (You're Losing Me)
Deon Jackson,1966-01-22,Love Makes The World Go Round
Billy Stewart,1966-01-22,Because I Love You
"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1966-01-29,Working My Way Back To You
Sonny & Cher,1966-01-29,What Now My Love
Bobby Fuller Four,1966-01-29,I Fought The Law
The Sheep,1966-01-29,Hide & Seek
Bob Kuban And The In-Men,1966-01-29,The Cheater
The Walker Bros.,1966-01-29,My Ship Is Comin' In
Slim Harpo,1966-01-29,Baby Scratch My Back
Jimmy McCracklin,1966-01-29,My Answer
Buck Owens,1966-01-29,Waitin' In Your Welfare Line
Andre Williams & His Orch.,1966-01-29,Rib Tip's (Part 1)
Barbara Mason,1966-01-29,Is It Me?
Barbara Lewis,1966-01-29,Don't Forget About Me
The Searchers,1966-01-29,Take Me For What I'm Worth
The Turtles,1966-02-05,You Baby
The Dave Clark Five,1966-02-05,At The Scene
The Shangri-Las,1966-02-05,Long Live Our Love
The Marketts,1966-02-05,Batman Theme
SSgt Barry Sadler,1966-02-05,The Ballad Of The Green Berets
Lesley Gore,1966-02-05,We Know We're In Love
The Byrds,1966-02-05,Set You Free This Time
Verdelle Smith,1966-02-05,In My Room (El Amor)
The Impressions,1966-02-05,Since I Lost The One I Love
Sam The Sham and the Pharaohs,1966-02-05,Red Hot
Eddy Arnold,1966-02-05,I Want To Go With You
Neil Sedaka,1966-02-05,The Answer To My Prayer
Wilson Pickett,1966-02-12,"634-5789 (Soulsville, U.S.A.)"
Peter And Gordon,1966-02-12,Woman
Simon & Garfunkel,1966-02-12,Homeward Bound
The Byrds,1966-02-12,It Won't Be Wrong
Dean Martin,1966-02-12,Somewhere There's A Someone
Mary Wells,1966-02-12,Dear Lover
Jan & Dean,1966-02-12,Batman
The McCoys,1966-02-12,Up And Down
Little Milton,1966-02-12,We Got The Winning Hand
Herman's Hermits,1966-02-19,Listen People
Roger Miller,1966-02-19,Husbands And Wives
Freddy Cannon,1966-02-19,The Dedication Song
James Brown And The Famous Flames,1966-02-19,I'll Go Crazy
Four Tops,1966-02-19,"Shake Me, Wake Me (When It's Over)"
Edwin Starr,1966-02-19,Stop Her On Sight (S.O.S.)
Marvin Gaye,1966-02-19,One More Heartache
Jay & The Americans,1966-02-19,Why Can't You Bring Me Home
The Fortunes,1966-02-19,This Golden Ring
Barbra Streisand,1966-02-19,Where Am I Going?
Tom Jones,1966-02-19,Promise Her Anything
New Colony Six,1966-02-19,I Confess
The Elgins,1966-02-19,Put Yourself In My Place
The Isley Brothers,1966-02-19,This Old Heart Of Mine (Is Weak For You)
The Outsiders,1966-02-19,Time Won't Let Me
The Rolling Stones,1966-02-26,19th Nervous Breakdown
The Vogues,1966-02-26,Magic Town
Bobby Vinton,1966-02-26,Tears
The Lovin' Spoonful,1966-02-26,Daydream
Johnny Cash,1966-02-26,The One On The Right Is On The Left
The Temptations,1966-02-26,Get Ready
Googie Rene Combo,1966-02-26,Smokey Joe's La La
Patty Duke,1966-02-26,Whenever She Holds You
Norma Tanega,1966-02-26,Walkin' My Cat Named Dog
The Ventures,1966-02-26,Secret Agent Man
Pozo Seco Singers,1966-02-26,Time
The Animals,1966-02-26,Inside-Looking Out
The Newbeats,1966-02-26,Shake Hands (And Come Out Crying)
The Barbarians,1966-02-26,Moulty
The Beatles,1966-03-05,Nowhere Man
James Brown And The Famous Flames,1966-03-05,Ain't That A Groove (Part 1)
Otis Redding,1966-03-05,Satisfaction
The Spencer Davis Group,1966-03-05,Keep On Running
Gary Lewis And The Playboys,1966-03-05,Sure Gonna Miss Her
The Righteous Brothers,1966-03-05,(You're My) Soul And Inspiration
The Mad Lads,1966-03-05,I Want Someone
"Dino, Desi & Billy",1966-03-05,Superman
Lou Christie,1966-03-05,Outside The Gates Of Heaven
Joe Tex,1966-03-05,The Love You Save (May Be Your Own)
The Mar-Keys,1966-03-05,Philly Dog
Cher,1966-03-12,Bang Bang (My Baby Shot Me Down)
Al Martino,1966-03-12,Think I'll Go Somewhere And Cry Myself To Sleep
Kim Weston,1966-03-12,Helpless
The Beatles,1966-03-12,What Goes On
The Harden Trio,1966-03-12,Tippy Toeing
Just Us,1966-03-12,I Can't Grow Peaches On A Cherry Tree
The Brass Ring featuring Phil Bodner,1966-03-12,The Phoenix Love Theme (Senza Fine)
The Peels,1966-03-12,Juanita Banana
Paul Revere & The Raiders Featuring Mark Lindsay,1966-03-19,Kicks
Herb Alpert & The Tijuana Brass,1966-03-19,Spanish Flea
The Yardbirds,1966-03-19,Shapes Of Things
The Tokens,1966-03-19,I Hear Trumpets Blow
Elvis Presley,1966-03-19,Please Don't Stop Loving Me
The Drifters,1966-03-19,Memories Are Made Of This
The Poets,1966-03-19,She Blew A Good Thing
The Hollies,1966-03-19,I Can't Let Go
The Elgins,1966-03-19,Darling Baby
The Flamingos,1966-03-19,The Boogaloo Party
Gene Chandler,1966-03-19,(I'm Just A) Fool For You
Lou Christie,1966-03-19,Big Time
Nancy Ames,1966-03-19,He Wore The Green Beret
Connie Francis,1966-03-19,"Love Is Me, Love Is You"
The Manhattans,1966-03-19,Baby I Need You
Jamo Thomas & His Party Brothers Orchestra,1966-03-19,I Spy (For The FBI)
Petula Clark,1966-03-26,A Sign Of The Times
Lesley Gore,1966-03-26,Young Love
Brian Wilson,1966-03-26,"Caroline, No"
The Kinks,1966-03-26,Till The End Of The Day
Ramsey Lewis Trio,1966-03-26,Hi Heel Sneakers - Pt. 1
Lou Christie,1966-03-26,Rhapsody In The Rain
Fontella Bass,1966-03-26,I Surrender
Ray Charles,1966-03-26,Together Again
The T-Bones,1966-03-26,Sippin' 'N Chippin'
Garnet Mimms,1966-03-26,I'll Take Good Care Of You
Ray Charles,1966-03-26,You're Just About To Lose Your Clown
The Beach Boys,1966-04-02,Sloop John B
Dionne Warwick,1966-04-02,Message To Michael
Jimmy Smith,1966-04-02,Got My Mojo Working (Part I)
The Dave Clark Five,1966-04-02,Try Too Hard
Gerry And The Pacemakers,1966-04-02,La La La
The Impressions,1966-04-02,Too Slow
The Toys,1966-04-02,May My Heart Be Cast Into Stone
The Van Dykes,1966-04-02,No Man Is An Island
The Moody Blues,1966-04-02,Stop!
Bonnie Guitar,1966-04-02,I'm Living In Two Worlds
Herman's Hermits,1966-04-09,Leaning On The Lamp Post
The Mamas & The Papas,1966-04-09,"Monday, Monday"
Buddy Starcher,1966-04-09,History Repeats Itself
Trini Lopez,1966-04-09,"I'm Comin' Home, Cindy"
The Shangri-Las,1966-04-09,He Cried
The Byrds,1966-04-09,Eight Miles High
Jim Reeves,1966-04-09,Distant Drums
J.J. Barnes,1966-04-09,Real Humdinger
James Carr,1966-04-09,You've Got My Mind Messed Up
Mel Carter,1966-04-09,Band Of Gold
Jr. Walker & The All Stars,1966-04-09,(I'm A) Road Runner
Solomon Burke,1966-04-09,I Feel A Sin Coming On
Percy Sledge,1966-04-09,When A Man Loves A Woman
Bob Dylan,1966-04-16,Rainy Day Women #12 & 35
Stevie Wonder,1966-04-16,Nothing's Too Good For My Baby
The Mindbenders,1966-04-16,A Groovy Kind Of Love
The Bachelors,1966-04-16,Love Me With All Of Your Heart
Bobby Fuller Four,1966-04-16,Love's Made A Fool Of You
Frank Gallop,1966-04-16,The Ballad Of Irving
Ronnie Dove,1966-04-16,Let's Start All Over Again
The Walker Bros.,1966-04-16,The Sun Ain't Gonna Shine (Anymore)
The Five Americans,1966-04-16,Evol-Not Love
Paul Peek,1966-04-16,Pin The Tail On The Donkey
Chris Montez,1966-04-16,The More I See You
Brian Hyland,1966-04-16,3000 Miles
The Monitors,1966-04-16,Greetings (This Is Uncle Sam)
Nancy Sinatra,1966-04-23,"How Does That Grab You, Darlin'?"
SSgt Barry Sadler,1966-04-23,"The ""A"" Team"
Bob Lind,1966-04-23,Remember The Rain
Gene Pitney,1966-04-23,Backstage
"Peter, Paul & Mary",1966-04-23,The Cruel War
Sam & Dave,1966-04-23,Hold On! I'm A Comin'
Ko Ko Taylor,1966-04-23,Wang Dang Doodle
Swingin' Medallions,1966-04-23,Double Shot (Of My Baby's Love)
The Standells,1966-04-23,Dirty Water
The McCoys,1966-04-23,Come On Let's Go
Robert Parker,1966-04-23,Barefootin'
The Supremes,1966-04-30,Love Is Like An Itching In My Heart
James Brown And The Famous Flames,1966-04-30,It's A Man's Man's Man's World
Bobby Vinton,1966-04-30,Dum-De-Da
Roy Orbison,1966-04-30,Twinkle Toes
Bobby Darin,1966-04-30,Mame
Dallas Frazier,1966-04-30,Elvira
Bob Kuban And The In-Men,1966-04-30,The Teaser
The Platters,1966-04-30,I Love You 1000 Times
